x_p1,y_p1,x_p2,y_p2,x_p3,y_p3,x_p4,y_p4,x_p5,y_p5,x_p6,y_p6,x_p7,y_p7,x_p8,y_p8
-24.99997107830759,-0.00028543903238407265,-34.99999999999993,1.9283231157659216e-13,-59.999875800585876,39.99987600261194,-68.00000000000914,-7.799999999989638,-62.000061960291305,-38.00017908630329,-72.00017503689355,-87.99999106448755,-83.99997459435357,-32.00013442205978,-94.99991438099944,2.000059062010744
-25.013760361098733,0.5239306643873138,-35.00000000001251,-1.0207125271644954e-12,-60.511235998370886,40.08296651701941,-67.99999999998496,-7.800000000015542,-61.56326540369616,-37.90960724297803,-71.06421139316151,-88.00716584604507,-83.62214705769924,-32.12926030599398,-95.10330102401215,1.710947525418202
-25.054787450482454,1.0452839591084435,-35.00000000001927,-2.0182668509665002e-12,-61.038921010072876,40.16231084707404,-67.99999999999145,-7.80000000000803,-61.147023101616135,-37.81794101889464,-70.12248437991215,-88.01197632456646,-83.26511696789333,-32.26907259298934,-95.20625873598539,1.4119186012447278
-25.12312295420264,1.5643436426944524,-35.000000000019966,-3.11143918934993e-12,-61.58318339617934,40.23815489365694,-68.00000000000836,-7.799999999989049,-60.751214098478314,-37.72482571335472,-69.17464151215808,-88.01444611469418,-82.92893928019362,-32.41930823954779,-95.30895798178322,1.102851514834033
-25.218530291348465,2.079115568967851,-35.000000000014964,-3.050592965560552e-12,-62.14314299858761,40.30963588414758,-68.00000000010422,-7.799999999883573,-60.37626368751911,-37.6315060159343,-68.22191330564681,-88.01449713686534,-82.61342435320692,-32.58089338294042,-95.41080130781695,0.7841665327829149
-25.34074795700871,2.5881887838146547,-35.0000000000068,-1.642634313426249e-12,-62.71814014780226,40.37615356964326,-68.00000000035055,-7.7999999996192395,-60.02245525220884,-37.53884499758239,-67.26519885290969,-88.01203232274648,-82.31840825565358,-32.75444593612307,-95.51136796693466,0.45618362647178645
-25.489440961026045,3.090167952890081,-35.00000000000277,-7.193207789880803e-13,-63.30748739071255,40.43712386319133,-68.00000000079649,-7.799999999154177,-59.69006038004931,-37.44768188160721,-66.30542358629444,-88.00692340542972,-82.0437108072245,-32.9405431760742,-95.61024364583264,0.11924069756045201
-25.664201746196476,3.5836771861905077,-35.00000000001124,-4.284447483025229e-12,-63.91046736537402,40.49198165758861,-68.00000000144611,-7.799999998494759,-59.37934275498863,-37.35882984192182,-65.34354697351054,-87.99901310541233,-81.78914131159473,-33.139717710194695,-95.70702187896279,-0.22630488061033158
-25.864551305401882,4.067363809369077,-35.00000000003709,-1.6741773933706826e-11,-64.52633083839535,40.540183781247954,-68.00000000215869,-7.799999997794121,-59.09056220484277,-37.27307392894541,-64.38056980086985,-87.98811775940285,-81.55450460253616,-33.3524538135243,-95.80130556041301,-0.5800748019445252
-26.0899404945379,4.539902071274817,-35.000000000073825,-3.8006848234652356e-11,-65.1542949049672,40.58121208932674,-68.00000000267596,-7.7999999973123915,-58.8239788926865,-37.19116910322438,-63.417541025730586,-87.97403034026588,-81.3396073781074,-33.57918412181796,-95.89270855204262,-0.9416684461002159
-26.339751537617897,4.999996777581135,-35.00000000010509,-6.094224091073782e-11,-65.79354135159295,40.61457668520432,-68.00000000277595,-7.799999997257386,-58.57985764136652,-37.11383835229711,-62.4555641815977,-87.95652380582402,-81.14426479535638,-33.82028665966244,-95.98085738510301,-1.3106615771845647
-26.613299719973867,5.446386840678627,-35.00000000011559,-7.50331214996793e-11,-66.44321518089582,40.6398192655178,-68.00000000243017,-7.799999997636374,-58.358472380510435,-37.04177086153143,-61.495803324251256,-87.93535470411135,-80.96830729572255,-34.07608217572559,-96.06539305132245,-1.6866051236842705
-26.909835264990097,5.877848736244685,-35.000000000102375,-7.411120323630512e-11,-67.10242329662938,40.65651658037505,-68.00000000181129,-7.799999998264555,-58.16011070574738,-36.97562020467836,-60.539488515145955,-87.91026695361086,-80.81158762965308,-34.346831748972576,-96.14597287838544,-2.069024040161514
-27.22854538924135,6.293199856984049,-35.00000000007473,-6.022989385725818e-11,-67.77023334467344,40.6642839993133,-68.00000000115739,-7.799999998906803,-57.98507854023809,-36.91600251467801,-59.58792085075548,-87.88099570931706,-80.67398804781034,-34.632734619687824,-96.22227248377735,-2.457416249201378
-27.56855653034412,6.691301754200693,-35.00000000004542,-4.0744884516890006e-11,-68.44567270355037,40.66277917257022,-68.00000000063469,-7.799999999408523,-57.833704888670596,-36.86349458976192,-58.642477056024845,-87.84727121955851,-80.55542762576823,-34.93392618985196,-96.29398780023737,-2.851251660234454
-27.92893674136095,7.071063258234789,-35.0000000000227,-2.2685364145999847e-11,-69.12772761647025,40.65170577585584,-68.00000000029367,-7.799999999729671,-57.706346673298114,-36.8186318840479,-57.704613661664574,-87.80882257385855,-80.4558696889755,-35.25047613038288,-96.36083716505067,-3.249971261384173
-28.308698245190698,7.4314434692383395,-35.00000000000863,-9.643799786595417e-12,-69.81534245550449,40.63081732525653,-68.00000000010613,-7.7999999999033065,-57.60339364037844,-36.78190632564494,-56.775870782732504,-87.76538123782768,-80.37532930445977,-35.58238652666819,-96.42256346443041,-3.6529862803839426
-28.706800141969822,7.771454610153759,-35.000000000001876,-2.4156096840852747e-12,-70.507419106659,40.599921047437434,-68.00000000002292,-7.799999999979224,-57.5252733234559,-36.75376389876473,-55.85787551327513,-87.71668426676578,-80.31388080486568,-35.929589987429814,-96.47893632313799,-4.059677409933832
-29.12215126209268,8.090164734120174,-34.99999999999978,1.7686867183859888e-13,-71.20281646243649,40.558881788884435,-67.99999999999903,-7.800000000000682,-57.47245604705565,-36.7346019194466,-54.95234494844448,-87.66247708517975,-80.27166530864795,-36.29194763526179,-96.52975432841728,-4.469394091679527
-29.553613157027893,8.386700278871903,-34.9999999999996,5.430863881642614e-13,-71.90035000596859,40.507625946533594,-67.99999999999875,-7.800000000000693,-57.44545995027598,-36.7247659272147,-54.06108884084278,-87.60251571466603,-80.24889819727579,-36.66924689026581,-96.57484727623404,-4.881453851365099
-30.000003219722192,8.660248461109457,-34.99999999999952,8.048489578968487e-13,-72.59879146850774,40.446145400385895,-68.00000000000139,-7.799999999997972,-57.444856003988534,-36.7245461072761,-53.18601188861334,-87.53656832702262,-80.24587650557844,-37.0611989519899,-96.61407842655838,-5.295141676528054
-30.460097926042337,8.910059504282515,-34.9999999999991,1.7360362358128942e-12,-73.29686853990684,40.37450142655425,-68.00000000000261,-7.799999999996356,-57.47127298755353,-36.73417314977892,-52.32911563946223,-87.4644159926425,-80.26298617430928,-37.46743587914706,-96.64734675293556,-5.709709427198659
-30.932636188373856,9.135448693684006,-34.999999999998465,3.435476704856301e-12,-73.99326460946673,40.29282856669623,-68.0000000000048,-7.799999999993641,-57.52540238073046,-36.75381344425573,-51.49249997882913,-87.38585248613319,-80.30070910408531,-37.88750716073865,-96.67458916989618,-6.12437526903738
-31.416322812179164,9.335798253212051,-34.99999999999764,6.1525943969836425e-12,-74.68661851226098,40.2013384268148,-68.00000000000873,-7.799999999989142,-57.60800311329252,-36.78356349882434,-50.678364151366694,-87.30068300159971,-80.35962993643105,-38.320875666367684,-96.69578271978651,-6.538323117249183
-31.909832046035973,9.510559038650182,-34.99999999999683,9.803958951212487e-12,-75.37552425401176,40.10032337469935,-68.0000000000152,-7.7999999999822975,-57.71990609805019,-36.823443465220265,-49.88900724091916,-87.20872161904674,-80.44044246996796,-38.766912858285195,-96.71094669822043,-6.950702078840138
-32.411811215432536,9.659252042833753,-34.99999999999637,1.369919287963246e-11,-76.0585306858662,39.99016010065856,-68.0000000000247,-7.7999999999730125,-57.86201845184894,-36.87338964266061,-49.12682800483779,-87.10978735102375,-80.54395559701223,-39.224893143380896,-96.72014469446611,-7.360625880379402
-32.92088443035816,9.78146970857533,-34.99999999999655,1.6446262577746075e-11,-76.73414109887158,39.87131300062963,-68.00000000003706,-7.799999999961818,-58.03532728286223,-36.9332458264177,-48.39432392440917,-87.00369858549105,-80.67109861714856,-39.69398723991762,-96.72348651967785,-7.767172268044556
-33.435656356525044,9.876877045750176,-34.99999999999744,1.6262325797722186e-11,-77.40081270697505,39.74433733385209,-68.00000000005153,-7.7999999999498275,-58.24090289014836,-37.00275336156542,-47.69408929179566,-86.89026572734956,-80.82292574864752,-40.173254432667036,-96.72112999175204,-8.169382366929621
-33.95471603988359,9.945212549480193,-34.99999999999875,1.1713146536755379e-11,-78.05695598706619,39.60988209887188,-68.0000000000663,-7.799999999938823,-58.479901181951824,-37.08153975971054,-47.02881210476983,-86.76928182809404,-81.00061961479601,-40.66163359206562,-96.71328254065186,-8.566259987293002
-34.47664077394549,9.98628891689972,-34.99999999999981,2.6471217366202307e-12,-78.70093384522721,39.46869256138747,-68.00000000007894,-7.799999999930909,-58.7535650714509,-37.169105738082955,-46.401269481945675,-86.64051098181696,-81.20549342905254,-41.157932839783285,-96.70020259213186,-8.956770866937044
-34.999999999315534,9.999993560539286,-34.99999999999993,-9.3462574485614e-12,-79.3310605802567,39.32161235506505,-68.00000000008698,-7.7999999999279055,-59.06322455138694,-37.264810548084036,-45.814321242220785,-86.50367425815003,-81.4389915391809,-41.66081775652766,-96.68220068078531,-9.339841841317622
-35.52335922474742,9.986288916920476,-34.999999999998835,-2.1261354716155073e-11,-79.94560061914044,39.169585061573095,-68.00000000008845,-7.799999999930916,-59.41029508101939,-37.36785547685758,-45.27090121087659,-86.35843294098498,-81.70268791480581,-42.16879805085429,-96.65964023504864,-9.714359936715525
-36.045283958978914,9.945212549516047,-34.99999999999685,-2.987303889195173e-11,-80.54276700492358,39.01365515841286,-68.00000000008265,-7.79999999993977,-59.79627383902598,-37.477265434030194,-44.77400572046426,-86.20436884930577,-81.9982820740461,-42.68021264344842,-96.63293796712175,-10.07917138703031
-36.56434364257303,9.876877045792135,-34.99999999999477,-3.325125002154079e-11,-81.12071962612737,38.854968202274904,-68.00000000007091,-7.79999999995249,-60.22273330341629,-37.59186858081,-44.32667866595767,-86.04096153740713,-82.32759184207404,-43.193213174313996,-96.6025637895431,-10.433080582105562
-37.07911556899019,9.781469708614761,-34.999999999993406,-3.1332759176784064e-11,-81.67756318920303,38.6947700913847,-68.00000000005608,-7.799999999966362,-60.69131151383375,-37.710274025653,-43.93199235088971,-85.86756221193568,-82.69254221729665,-43.70574601576546,-96.56904016734644,-10.774848965272824
-37.58818878413814,9.659252042865187,-34.999999999993186,-2.5701063125507635e-11,-82.21134495255835,38.53440522240236,-68.00000000004118,-7.799999999979028,-61.20369825315072,-37.83084770658817,-43.59302322508943,-85.68336426985306,-83.09514948989485,-44.21553297876187,-96.53294080029197,-11.103193910740938
